Name,Price,Discount Price,Category,Sub Category,Brand,id
Masai Shuka 60*80,850.0,850.0,CLOTHING,,,14651
Afri Clear Tape 48 Mm 1 Piece,180.0,144.0,STATIONERY,OFFICE STATIONERY,AFRI,19248
Azhar A4 Paper 80gsm,840.0,840.0,STATIONERY,OFFICE STATIONERY,AZHAR,19255
Bic Glue Stick 8Gm,132.0,132.0,STATIONERY,OFFICE STATIONERY,BIC,20701
Bic Glue Stick 21Gm,223.0,223.0,STATIONERY,OFFICE STATIONERY,BIC,20700
Bic Correction Fluid 20ml,126.0,126.0,STATIONERY,OFFICE STATIONERY,BIC,19256
Economic C4 Manilla Envelope,10.0,10.0,STATIONERY,OFFICE STATIONERY,ECONOMIC,11443
Jk Copier A4 Paper 75gsm,890.0,890.0,STATIONERY,OFFICE STATIONERY,JK,19260
Kangaro Paper Stapler Ds45,490.0,490.0,STATIONERY,OFFICE STATIONERY,KANGARO,19265
Kangaro Paper Punch Dp520,640.0,640.0,STATIONERY,OFFICE STATIONERY,KANGARO,19264
Kartasi Jumbo Reporter'S Notebook 150 Sheets,111.0,111.0,STATIONERY,OFFICE STATIONERY,KARTASI,19225
Kartasi Hit Brand Short Hand Notebook 50 Sheets,61.0,61.0,STATIONERY,OFFICE STATIONERY,KARTASI,19223
Kartasi Hard Cover Note Book No. 401/6 160 Pages,52.0,52.0,STATIONERY,OFFICE STATIONERY,KARTASI,19222
Kartasi Rubber Bands 100g,129.0,129.0,STATIONERY,OFFICE STATIONERY,KARTASI,19221
Kasuku Petty Cash Voucher A7 50 Sheets,56.0,56.0,STATIONERY,OFFICE STATIONERY,KARTASI,19217
Kartasi Visitors Book No.152,419.0,419.0,STATIONERY,OFFICE STATIONERY,KARTASI,19215
Kartasi Receipt Book 100 X 2 Sheets,74.0,74.0,STATIONERY,OFFICE STATIONERY,KARTASI,19214
Kartasi Ledger Book 4 Quire 384 Pages,495.0,396.0,STATIONERY,OFFICE STATIONERY,KARTASI,19212
Kartasi Invoice Book 100 X 2 Sheets No.561,160.0,160.0,STATIONERY,OFFICE STATIONERY,KARTASI,19210
Kartasi Delivery Note A5 100 X 2 Sheets No. 563,161.0,161.0,STATIONERY,OFFICE STATIONERY,KARTASI,19209
Kartasi Cash Sale Book 12 Up 50 X 2 Sheets,132.0,132.0,STATIONERY,OFFICE STATIONERY,KARTASI,19206
Kasuku Superline Loose Pad A4,139.0,139.0,STATIONERY,OFFICE STATIONERY,KASUKU,19234
Kasuku Spiral Notebook A4 50 Pages,120.0,120.0,STATIONERY,OFFICE STATIONERY,KASUKU,19231
Kasuku Short Hand Notebook A5,63.0,63.0,STATIONERY,OFFICE STATIONERY,KASUKU,19230
Kasuku Loose Leaf Block A4,108.0,108.0,STATIONERY,OFFICE STATIONERY,KASUKU,19229
Kasuku Record Cards 6 X 4 Inches 100 Pieces,121.0,121.0,STATIONERY,OFFICE STATIONERY,KASUKU,19218
Kasuku Petty Cash Voucher A6 50 Sheets,37.0,37.0,STATIONERY,OFFICE STATIONERY,KASUKU,19216
Kasuku Spiral Notebook A5 50 Pages,70.0,70.0,STATIONERY,OFFICE STATIONERY,KASUKU,19232
Office Point Note Book 84P6412 A6,256.0,256.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20681
Office Point N/Book Sprl 70P6412 A6,344.0,344.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20680
Office Point Sticky Notes Fscent Sn55 3X3,130.0,130.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20674
Office Point Sponge Damper,85.0,85.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20671
Office Point Side Spiral N/Book A6,191.0,191.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20670
Office Point Notebook F/Scent A5 52P2520,500.0,500.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20664
Office Point Note Book Prem A6 W/Pdq Ms1605B,360.0,360.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20663
Office Point Note Book Prem A5 W/Pdq Ms1604,720.0,720.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20661
Office Point Note Book Prem A5 W/Pdq Ms1601,720.0,720.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20658
Office Point Note Book Executive Sl Still A6,375.0,375.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20657
Office Point Note Book Executive Sl Still A5,545.0,545.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20656
Office Point Note Book Executive Sl Pride A6,375.0,375.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20655
Office Point Note Book Executive Sl Pride A5,545.0,545.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20654
Office Point Note Book Executive Sl Glee A6,375.0,375.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20653
Office Point Note Book Executive Sl Glee A5,545.0,545.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20652
Office Point Note Book Executive Oml Mien A5,545.0,545.0,STATIONERY,OFFICE STATIONERY,OFFICE POINT,20650
