Name,Price,Discount Price,Category,Sub Category,Brand,id
Gotenna Gotv Antenna,935.0,935.0,ELECTRONICS,AERIAL,,10877
Armco Fan Heater Afh-2000R,4495.0,4495.0,ELECTRONICS,AIR CONDITIONING,ARMCO,14652
Lorezetti Instant Shower Maxi Ducha 4T,3640.0,3640.0,ELECTRONICS,AIR CONDITIONING,LORENZETTI,14665
Lorenzetti Instant Shower Maxi Ducha 3T,3340.0,3340.0,ELECTRONICS,AIR CONDITIONING,LORENZETTI,14664
Mika Fan Heater Mh101,2995.0,2995.0,ELECTRONICS,AIR CONDITIONING,MIKA,14658
Ramtons 2 Burner Gas Cooker RG/529,10250.0,10250.0,ELECTRONICS,AIR CONDITIONING,RAMTONS,10913
Ramtons 2 Burner Cooker Rg/518,5650.0,4550.0,ELECTRONICS,AIR CONDITIONING,RAMTONS,10912
Eskimo Cooler Box 11L,3100.0,3100.0,ELECTRONICS,COOLER BOXES,,14676
Eskimo Cooler Box 60 Qt/57L,10740.0,10740.0,ELECTRONICS,COOLER BOXES,,14675
Eskimo Cooler Box 36 Qt/34.5L,5965.0,5965.0,ELECTRONICS,COOLER BOXES,,14673
Dstv Single View Full Equipment,6100.0,6100.0,ELECTRONICS,DECODERS,DSTV,14682
Dstv Single View Decoder,3999.0,3999.0,ELECTRONICS,DECODERS,DSTV,14681
Dstv Explora Decoder,31900.0,31900.0,ELECTRONICS,DECODERS,DSTV,14680
Dstv Explora Complete Kit,40180.0,40180.0,ELECTRONICS,DECODERS,DSTV,14679
Gotv Decoder,2170.0,2170.0,ELECTRONICS,DECODERS,GOTV,14683
Almarks 4-Way England Power Extention Cable,1400.0,1400.0,ELECTRONICS,ELECTRICAL ACCESSORIES,ALMARK,14692
Jefreys 5Way Extension Jx06 Uk,2390.0,2390.0,ELECTRONICS,ELECTRICAL ACCESSORIES,JEFREYS,14691
Jefreys 5Way Extension Jx03,2235.0,2235.0,ELECTRONICS,ELECTRICAL ACCESSORIES,JEFREYS,14690
Jefreys 4Way Extension Jx02,1950.0,1950.0,ELECTRONICS,ELECTRICAL ACCESSORIES,JEFREYS,14689
Jefreys 3Way Extension Jx01,1705.0,1705.0,ELECTRONICS,ELECTRICAL ACCESSORIES,JEFREYS,14688
Sollatek Fridge Guard 0.6 Amps,4130.0,4130.0,ELECTRONICS,ELECTRICAL ACCESSORIES,SOLLATEK,14685
S.W.E Twin Socket 1 Pieces,400.0,400.0,ELECTRONICS,ELECTRICAL ACCESSORIES,TWIN,14697
Haier Steam Iron Hec1743,3595.0,3595.0,ELECTRONICS,GARMENT CARE,HAIER,20374
Philips Gc1742 Steam Iron,4995.0,4995.0,ELECTRONICS,GARMENT CARE,PHILIPS,20372
Philips Iron Box Hd1172,2795.0,2795.0,ELECTRONICS,GARMENT CARE,PHILIPS,14723
Ramtons Steam Iron Rm/306,2100.0,2100.0,ELECTRONICS,GARMENT CARE,RAMTONS,14745
Ramtons Spray Dry Iron Rm/187,3600.0,3600.0,ELECTRONICS,GARMENT CARE,RAMTONS,14742
Ramtons Dry Iron Rm/305,1700.0,1700.0,ELECTRONICS,GARMENT CARE,RAMTONS,14741
Ramtons Dry Iron 1100W Rm/180,1950.0,1950.0,ELECTRONICS,GARMENT CARE,RAMTONS,14737
Von Sandwich Maker Hs2Ygk/Vssp2Ybgk Black,2195.0,2195.0,ELECTRONICS,KITCHEN APPLIANCES,HOTPOINT,11012
Moulinex Toaster Lt1601,3995.0,3995.0,ELECTRONICS,KITCHEN APPLIANCES,MOULINEX,14784
Moulinex Hand Mixer Hm312127,8695.0,8695.0,ELECTRONICS,KITCHEN APPLIANCES,MOULINEX,14775
Moulinex Coffee Maker Fg370827,5995.0,5995.0,ELECTRONICS,KITCHEN APPLIANCES,MOULINEX,10983
Moulinex Juice Extractor Ju350,7495.0,7495.0,ELECTRONICS,KITCHEN APPLIANCES,MOULINEX,10978
Moulinex Blender 400 Watts Lm242,9495.0,9495.0,ELECTRONICS,KITCHEN APPLIANCES,MOULINEX,10962
Ramtons 2 Slice Sandwich Maker Rm/478,2750.0,2750.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14786
Ramtons Kitchen Scale & Bowl Rm/299,2350.0,2350.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14779
Ramtons Hand Mixer Rm/382,3500.0,3500.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14777
Ramtons Stainless Steel Cordless Kettle Rm/439,3150.0,3150.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14761
Ramtons Rm/464 Extra Large 5L Steel Kettle,5500.0,5500.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14760
Ramtons Corded Kettle Rm/399 1.7L,1800.0,1800.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14753
Ramtons Corded Kettle 1.7L Rm/226,2400.0,1845.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,14750
Ramtons Rice Cooker + Steamer Rm/290,7100.0,7100.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,11016
Ramtons Sandwitch Maker White Rm/479,2400.0,2400.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,11011
Ramtons Sandwich Toaster Rm/114,3500.0,3500.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,11010
Ramtons Coffee Maker 1.5L Rm/193,4600.0,4600.0,ELECTRONICS,KITCHEN APPLIANCES,RAMTONS,10985
