Name,Price,Discount Price,Category,Sub Category,Brand,id
Ocuisine Round Cake Dish 2.1L 26 Cm,1050.0,1050.0,HOUSEHOLDS,BAKEWARES,OCUISINE,17362
Ocuisine Oval Pie Roaster 1.5L 25 Cm,1000.0,1000.0,HOUSEHOLDS,BAKEWARES,OCUISINE,17358
Pure Box Square 76 Cl,885.0,885.0,HOUSEHOLDS,BAKEWARES,PURE,17369
Pure Box Rectangular 82 Cl,910.0,910.0,HOUSEHOLDS,BAKEWARES,PURE,17367
Pure Box Rectangular 38 Cl,800.0,800.0,HOUSEHOLDS,BAKEWARES,PURE,17366
Pure Box Rectangular 197 Cl,1320.0,1320.0,HOUSEHOLDS,BAKEWARES,PURE,17365
Pure Box Rectangular 122 Cl,995.0,995.0,HOUSEHOLDS,BAKEWARES,PURE,17364
Pyrex Magic Square Roaster 24 Cm,1357.0,1357.0,HOUSEHOLDS,BAKEWARES,PYREX,17387
Pyrex Magic Spring Form Pan 26 Cm,1722.0,1722.0,HOUSEHOLDS,BAKEWARES,PYREX,17386
Pyrex Magic Pizza Pan 30 Cm,1111.0,1111.0,HOUSEHOLDS,BAKEWARES,PYREX,17383
Pyrex Magic Loaf Pan 26 Cm,1245.0,1245.0,HOUSEHOLDS,BAKEWARES,PYREX,17382
Pyrex Magic Flan Pan 27 Cm,1110.0,1110.0,HOUSEHOLDS,BAKEWARES,PYREX,17381
Pyrex Magic Cake Pan 26 Cm,1175.0,1175.0,HOUSEHOLDS,BAKEWARES,PYREX,17380
Pyrex Magic 6-Cup Muffin Tray,1107.0,1107.0,HOUSEHOLDS,BAKEWARES,PYREX,17379
Smart Cuisine Diwali Serving Platter 22 Cm White,1020.0,1020.0,HOUSEHOLDS,BAKEWARES,SMART CUISINE,17402
Smart Cuisine  Oval 29 By 17 Cm,1255.0,1255.0,HOUSEHOLDS,BAKEWARES,SMART CUISINE,17400
Alluminum Chapati Pan,1990.0,1990.0,HOUSEHOLDS,COOKWARES,ALUMINIUM,17412
Kitchen King Sufuria Hard 12-15 4 Pieces,1595.0,1595.0,HOUSEHOLDS,COOKWARES,KITCHEN KING,17414
Matrix Pressure Cooker 8L,4750.0,4750.0,HOUSEHOLDS,COOKWARES,MATRIX,17415
Matrix Pressure Cooker 5L,4000.0,4000.0,HOUSEHOLDS,COOKWARES,MATRIX,11361
Matrix Pressure Cooker 10L Promo,5550.0,5550.0,HOUSEHOLDS,COOKWARES,MATRIX,11359
Melitta Original Coffee Filter 1X6 40 Pieces,525.0,525.0,HOUSEHOLDS,COOKWARES,MELITTA,17416
Promax Pressure Cooker 10L,5506.0,5506.0,HOUSEHOLDS,COOKWARES,PROMAX,17419
Ramtons 8 Piece Cookware Set Rt/108,16610.0,16610.0,HOUSEHOLDS,COOKWARES,RAMTONS,17423
Carine White Dinner Plate,325.0,325.0,HOUSEHOLDS,DINNERWARES,CARINE,17433
Cello Cool Kines Dinner Plate 10',340.0,340.0,HOUSEHOLDS,DINNERWARES,CELLO,17436
Cello Blue Swirl Dinner Plate 10',340.0,340.0,HOUSEHOLDS,DINNERWARES,CELLO,17435
Feston White Bowl 12 Cm,240.0,240.0,HOUSEHOLDS,DINNERWARES,FESTON,17455
Feston Plain Dinner Plate 25 Cm,275.0,275.0,HOUSEHOLDS,DINNERWARES,FESTON,17454
Harena Black Soup Plate 23 Cm,300.0,300.0,HOUSEHOLDS,DINNERWARES,HARENA,17459
Harena Black Dinn Plate 25 Cm,300.0,300.0,HOUSEHOLDS,DINNERWARES,HARENA,17458
Jolly Oval Tray 21 Inches,1715.0,1715.0,HOUSEHOLDS,DINNERWARES,JOLLY,17470
Jolly Flat Tray 17.5,1530.0,1530.0,HOUSEHOLDS,DINNERWARES,JOLLY,17469
Jolly 2 Handle Tray 17.5 Inches,1300.0,1300.0,HOUSEHOLDS,DINNERWARES,JOLLY,17466
Jolly Scotts Casser Bowl 2 Sets,6120.0,6120.0,HOUSEHOLDS,DINNERWARES,JOLLY,11377
Stack Bowl 26 Cm,785.0,785.0,HOUSEHOLDS,DINNERWARES,STACK,17474
Stack Bowl 17 Cm,340.0,340.0,HOUSEHOLDS,DINNERWARES,STACK,17472
"Storesome Kaulo Deco Soup Plate 8""",92.0,92.0,HOUSEHOLDS,DINNERWARES,STORESOME,17479
"Storesome Ceramic Soup Bowl 8.25""",225.0,225.0,HOUSEHOLDS,DINNERWARES,STORESOME,17477
"Storesome Cer Dinner Plate 10.5""",225.0,225.0,HOUSEHOLDS,DINNERWARES,STORESOME,17476
Arc Water Jug With Lid 1L,585.0,585.0,HOUSEHOLDS,DRINKWARES,ARC,17482
Arcopal Lancier Tumbler 27 Cl 6 Pieces,810.0,810.0,HOUSEHOLDS,DRINKWARES,ARCOPAL,17484
Brighton Tumbler 27 Cl,260.0,260.0,HOUSEHOLDS,DRINKWARES,BRIGHTON,17488
Essence White Mug 32 Cl 1Pieces,355.0,279.0,HOUSEHOLDS,DRINKWARES,ESSENCE,17505
Essence Romantique Mug 32 Cl,429.0,429.0,HOUSEHOLDS,DRINKWARES,ESSENCE,17504
Essence Flo Mug 32 Cl,429.0,429.0,HOUSEHOLDS,DRINKWARES,ESSENCE,17502
Essence Elizabeth Mug 32 Cl,429.0,429.0,HOUSEHOLDS,DRINKWARES,ESSENCE,17501
Essence Aliya Mug 32 Cl,429.0,429.0,HOUSEHOLDS,DRINKWARES,ESSENCE,17499
Granity Tumbler 31 Cl,193.0,193.0,HOUSEHOLDS,DRINKWARES,GRANITY,17507
Haworth Beer Mug 20 Oz 60 Cl,345.0,345.0,HOUSEHOLDS,DRINKWARES,HARWOTH,17508
Kenstar Lovely Mug 903,90.0,90.0,HOUSEHOLDS,DRINKWARES,KENSTAR,17511
Rhino Kubwa Match Box 60 Sticks Pack Of 10,42.0,42.0,HOUSEHOLDS,FIRE LIGHTERS AND MATCHES,,17516
Primus Gas Burner 6Kg,549.0,549.0,HOUSEHOLDS,GAS + ACCESSORIES,,17519
Avitron Methylated Spirit 1L,206.0,206.0,HOUSEHOLDS,HEATING ACCESSORIES,AVITRON,17520
Bic Slim Gas Lighter J38,160.0,160.0,HOUSEHOLDS,HEATING ACCESSORIES,BIC,20378
Bic Mega Lighter,380.0,380.0,HOUSEHOLDS,HEATING ACCESSORIES,BIC,20377
Bic Lighter J6 Sleeve Assorted,125.0,125.0,HOUSEHOLDS,HEATING ACCESSORIES,BIC,20376
Bic Gas Lighter J5 Mini,85.0,85.0,HOUSEHOLDS,HEATING ACCESSORIES,BIC,20375
Rosapharm Moto Sawa Fuel Gel 3L,823.0,823.0,HOUSEHOLDS,HEATING ACCESSORIES,ROSAPHARM,17525
Rosapharm Moto Sawa Fuel Gel 1L,285.0,285.0,HOUSEHOLDS,HEATING ACCESSORIES,ROSAPHARM,17524
Rosapharm Methylated Spirit 5L,1040.0,1040.0,HOUSEHOLDS,HEATING ACCESSORIES,ROSAPHARM,17523
Rosapharm Methylated Spirit 1L,238.0,238.0,HOUSEHOLDS,HEATING ACCESSORIES,ROSAPHARM,17522
Rosaheat Food Warming Wonder Gel 200ml,117.0,117.0,HOUSEHOLDS,HEATING ACCESSORIES,ROSAPHARM,17521
Kenpoly Yoyo Basket 06,50.0,50.0,HOUSEHOLDS,KITCHEN ACCESSORIES,KENPOLY,17542
Kenpoly Yoyo 02,145.0,145.0,HOUSEHOLDS,KITCHEN ACCESSORIES,KENPOLY,17541
Kenpoly Wave Basin 35,115.0,115.0,HOUSEHOLDS,KITCHEN ACCESSORIES,KENPOLY,17539
Kenpoly Wave Basin 32,100.0,100.0,HOUSEHOLDS,KITCHEN ACCESSORIES,KENPOLY,17538
