Name,Price,Discount Price,Category,Sub Category,Brand,id
Bila Shaka Capitan Craft Lager 500Ml,285.0,285.0,LIQUOR,BEER,BILA,21626
Bila Shaka Jua Kali Lager 500Ml,285.0,285.0,LIQUOR,BEER,BILA,21625
Gordon'S Pink & Tonic 330Ml,220.0,220.0,LIQUOR,BEER,GORDON'S,22002
Gordon'S Tonic Premium Dry 330Ml,220.0,220.0,LIQUOR,BEER,GORDON'S,22001
Heineken 0.0 330Ml Bottle,210.0,210.0,LIQUOR,BEER,HEINEKEN,21788
Heineken Bottle 330ml,260.0,260.0,LIQUOR,BEER,HEINEKEN,17756
Heineken  Can 500ml,290.0,290.0,LIQUOR,BEER,HEINEKEN,17782
Hunters Dry Cider 330Ml Btl,210.0,210.0,LIQUOR,BEER,HUNTERS,21791
Hunters Gold Cider 330Ml Btl,210.0,210.0,LIQUOR,BEER,HUNTERS,21790
Kenya Orig.Honey & Lemon 330Ml Bottle,265.0,265.0,LIQUOR,BEER,KENYA,21803
Kenya Orig.Honey & Lemon 330Ml Can,265.0,265.0,LIQUOR,BEER,KENYA,21802
Kenyan Orig.Lime & Ginger 330Ml Can,265.0,265.0,LIQUOR,BEER,KENYAN,22006
Kenyan Orig.Passion Fruit&Lime 330Ml Can,265.0,265.0,LIQUOR,BEER,KENYAN,22005
Kenyan Orig.Pineapple & Mint 330Ml Can,265.0,265.0,LIQUOR,BEER,KENYAN,22004
Kenyan Orig.Mango&Ginger/Chilli 330Ml Can,265.0,265.0,LIQUOR,BEER,KENYAN,21805
Kenyan Orig.Apple & Lime 330Ml Btl,185.0,185.0,LIQUOR,BEER,KENYAN ORIG,21807
Kenyan Orig.Apple & Lime 330Ml Can,190.0,190.0,LIQUOR,BEER,KENYAN ORIG,21806
Kenyan Orig.Lime & Ginger 330Ml Btl,265.0,265.0,LIQUOR,BEER,KENYAN ORIGINALS,21811
Kenyan Orig.Mango&Ginger/Chilli 330Ml Btl,265.0,265.0,LIQUOR,BEER,KENYAN ORIGINALS,21810
Kenyan Orig.Passion Fruit & Lime 330Ml Btl,265.0,265.0,LIQUOR,BEER,KENYAN ORIGINALS,21809
Kenyan Orig.Pineapple & Mint 330Ml Btl,265.0,265.0,LIQUOR,BEER,KENYAN ORIGINALS,21808
Smirnoff Ice Pineapple Punch 330Ml,200.0,200.0,LIQUOR,BEER,SMIRNOFF,22000
Smirnoff Black Ice Beer 330ml Can,200.0,179.0,LIQUOR,BEER,SMIRNOFF,17789
Smirnoff Guarana Beer 330ml,200.0,200.0,LIQUOR,BEER,SMIRNOFF,17791
Tusker Cider Can 500ml,240.0,240.0,LIQUOR,BEER,TUSKER,17793
Tusker Lager Can 500ml,220.0,169.0,LIQUOR,BEER,TUSKER,17795
Tusker Lite Can 500ml,280.0,259.0,LIQUOR,BEER,TUSKER,17796
Tusker Malt Can 500ml,280.0,280.0,LIQUOR,BEER,TUSKER,17797
Baileys Delight 350Ml,550.0,550.0,LIQUOR,SPIRIT,BAILEYS,21606
Baileys Original 750ml,2700.0,2700.0,LIQUOR,SPIRIT,BAILEYS,17832
Baileys Original 375ml,1500.0,1500.0,LIQUOR,SPIRIT,BAILEYS,17831
Baileys Original 1000ml,3500.0,3500.0,LIQUOR,SPIRIT,BAILEYS,17830
Ballantine Whisky 4.5L,11689.0,11689.0,LIQUOR,SPIRIT,BALLANTINES,21607
Ballantines Finest Whisky 750ml,2256.0,1799.0,LIQUOR,SPIRIT,BALLANTINES,17978
Ballantines Finest Whisky 1L,3009.0,3009.0,LIQUOR,SPIRIT,BALLANTINES,17977
Ballantines  Finest Whisky 375ml,1185.0,1185.0,LIQUOR,SPIRIT,BALLANTINES,17976
Best Vodka 250Ml,270.0,270.0,LIQUOR,SPIRIT,BEST,21624
Best Vodka 750Ml,750.0,750.0,LIQUOR,SPIRIT,BEST,21623
Best Classic Whisky 750ml,1120.0,1120.0,LIQUOR,SPIRIT,BEST,17980
Best Classic Whisky 250ml,360.0,360.0,LIQUOR,SPIRIT,BEST,17979
Best London Dry Gin 750ml,900.0,750.0,LIQUOR,SPIRIT,BEST,17839
Best Cream 750ml,1200.0,1089.0,LIQUOR,SPIRIT,BEST,17834
Best Cream 250ml,390.0,390.0,LIQUOR,SPIRIT,BEST,17833
Chivas Regal Whisky 18Yr,8460.0,8460.0,LIQUOR,SPIRIT,CHIVAS,21691
Chivas Regal Whisky  12  Years 375ml,2171.0,2171.0,LIQUOR,SPIRIT,CHIVAS,17897
Chivas Regal Whisky 12 Year Old 750ml,4136.0,4136.0,LIQUOR,SPIRIT,CHIVAS,11421
Chivas  Regal Whisky  12Yo 1L,5465.0,5465.0,LIQUOR,SPIRIT,CHIVAS,11420
Gilbeys Mixed Berry 350Ml,720.0,720.0,LIQUOR,SPIRIT,GILBEYS,21995
Gilbeys Mixed Berry 750Ml,1550.0,1550.0,LIQUOR,SPIRIT,GILBEYS,21994
Gilbeys Gin 750ml,1550.0,1399.0,LIQUOR,SPIRIT,GILBEYS,17848
Gilbeys Gin 350ml,720.0,720.0,LIQUOR,SPIRIT,GILBEYS,17847
Gilbeys Gin 250ml,520.0,520.0,LIQUOR,SPIRIT,GILBEYS,17846
Jack Daniels Tennessee 700ml,3910.0,3910.0,LIQUOR,SPIRIT,JACK DANIELS,18037
Jack Daniels Tennessee 350ml,2050.0,2050.0,LIQUOR,SPIRIT,JACK DANIELS,18036
Jack Daniels Tennessee 1L,5250.0,5250.0,LIQUOR,SPIRIT,JACK DANIELS,18035
Jack Daniels Single Barrel 700ml,7160.0,7160.0,LIQUOR,SPIRIT,JACK DANIELS,18034
Jack Daniels Honey 700ml,3910.0,3910.0,LIQUOR,SPIRIT,JACK DANIELS,18033
Jack Daniels Honey 1L,5250.0,5250.0,LIQUOR,SPIRIT,JACK DANIELS,18032
Jack Daniels Fire 700ml,3910.0,3910.0,LIQUOR,SPIRIT,JACK DANIELS,18031
Jack Daniels  Gentleman Jack 700ml,5240.0,5240.0,LIQUOR,SPIRIT,JACK DANIELS,18030
Jameson Black Barrel 750Ml,4211.0,4211.0,LIQUOR,SPIRIT,JAMESON,21796
Jameson Whisky 4.5Ltr,13445.0,13445.0,LIQUOR,SPIRIT,JAMESON,21795
Jameson Whiskey 750ml,2930.0,2399.0,LIQUOR,SPIRIT,JAMESON,18040
Jameson Whiskey 1L,3906.0,3906.0,LIQUOR,SPIRIT,JAMESON,18039
Jameson  Whisky 350ml,1272.0,1272.0,LIQUOR,SPIRIT,JAMESON,18038
Johnnie Walker Gold Reserve 750Ml,8500.0,8500.0,LIQUOR,SPIRIT,JOHNNIE WALKER,21800
Johnnie Walker Song Of Fire 750ml,3850.0,3850.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18057
Johnnie Walker Red Label 375ml,1200.0,1200.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18056
Johnnie Walker Green Label 750ml,8400.0,8400.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18054
Johnnie Walker Blue Label 750ml,32000.0,32000.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18053
Johnnie Walker 18 Years,12100.0,12100.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18052
Johnie Walker Red Label 750ml,2300.0,1899.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18051
Johnie Walker Red Label 1L,2800.0,2800.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18050
Johnie Walker Double Black 1L,6600.0,6600.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18049
Johnie Walker Black Label 750ml,4200.0,3999.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18048
Johnie Walker Black Label 375ml,2200.0,2200.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18047
Johnie Walker Black Label 1L,5200.0,5200.0,LIQUOR,SPIRIT,JOHNNIE WALKER,18046
Kenya Cane Smooth 350ml,420.0,420.0,LIQUOR,SPIRIT,KENYA CANE,17873
Kenya Cane Smooth 250ml,310.0,289.0,LIQUOR,SPIRIT,KENYA CANE,17872
Kenya Cane Pineapple 750ml,810.0,779.0,LIQUOR,SPIRIT,KENYA CANE,17871
Kenya Cane Pineapple 250ml,310.0,289.0,LIQUOR,SPIRIT,KENYA CANE,17870
Kenya Cane Citrus 250ml,310.0,310.0,LIQUOR,SPIRIT,KENYA CANE,17867
Kenya Cane Smooth 750ml,810.0,779.0,LIQUOR,SPIRIT,KENYA CANE,17814
Tanqueray 10Yr Old 1Ltr,6100.0,6100.0,LIQUOR,SPIRIT,TANQUERAY,21983
Tanqueray B/Currant Royale Distilled Gin 700Ml,3000.0,3000.0,LIQUOR,SPIRIT,TANQUERAY,21982
Tanqueray Flor De Sevilla Distilled Gin 1L,4000.0,4000.0,LIQUOR,SPIRIT,TANQUERAY,21981
Tanqueray London Dry Gin 1Ltr,3800.0,3800.0,LIQUOR,SPIRIT,TANQUERAY,21980
Tanqueray Rangpur Lime Distilled Gin 700Ml,3000.0,3000.0,LIQUOR,SPIRIT,TANQUERAY,21979
4Th Street Sweet Red 1.5L,1850.0,1850.0,LIQUOR,WINE,4TH STREET,18095
4Th Street Sweet Red 5L,4300.0,4300.0,LIQUOR,WINE,4TH STREET,18096
4Th Street Sweet Red 750ml,930.0,930.0,LIQUOR,WINE,4TH STREET,18097
4Th Street Sweet  White 750ml,930.0,930.0,LIQUOR,WINE,4TH STREET,18210
4Th Street Sweet White 5L,4100.0,4100.0,LIQUOR,WINE,4TH STREET,18211
Baron De Lestac - Oaked - Bordeaux Red,2160.0,2160.0,LIQUOR,WINE,BARON,21613
Baron De Lirondeau - Rogue Vce  750Ml,1240.0,1240.0,LIQUOR,WINE,BARON,21612
Baron De Lirondeau - Blanc Vce 750Ml,1240.0,1240.0,LIQUOR,WINE,BARON,21611
Baron D' Arignac Moulleux Nv Red 750ml,1070.0,1070.0,LIQUOR,WINE,BARON,18109
Baron D' Arignac Nv Rouge 750ml,1070.0,1070.0,LIQUOR,WINE,BARON,18214
Caprice Dry Red Tetra 1Ltr,870.0,870.0,LIQUOR,WINE,CAPRICE,21651
Caprice Dry White Tetra 1Ltr,770.0,770.0,LIQUOR,WINE,CAPRICE,21650
Caprice Sweet White Tetra 1Ltr,770.0,770.0,LIQUOR,WINE,CAPRICE,21649
Caprice Sweet Red Tetra,770.0,770.0,LIQUOR,WINE,CAPRICE,18115
Crane Lake Cabernet Sauvignon 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,20828
Crane Lake Red  Blend 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,20829
Crane Lake Sweet Red 1.5 L,3320.0,3320.0,LIQUOR,WINE,CRANE LAKE,20830
Crane Lake Sweet Red 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,20831
Crane Lake White Zinfandel 1.5 L,3320.0,3320.0,LIQUOR,WINE,CRANE LAKE,20832
Crane Lake White Zinfandel 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,20833
Crane Lake Chardonnay 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,21077
Crane Lake Moscato 1.5 L,3320.0,3320.0,LIQUOR,WINE,CRANE LAKE,21078
Crane Lake Moscato 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,21079
Crane Lake Riesling 750 Ml,1896.0,1896.0,LIQUOR,WINE,CRANE LAKE,21080
Fairview La Capra Pinotage 750Ml,1960.0,1960.0,LIQUOR,WINE,FAIRVIEW,21745
Fairview Goats Do Roam Red 750Ml,2100.0,2100.0,LIQUOR,WINE,FAIRVIEW,21744
Fairview Shiraz 750Ml,3080.0,3080.0,LIQUOR,WINE,FAIRVIEW,21743
Fairview Goats Do Roam Rose 750Ml,2100.0,2100.0,LIQUOR,WINE,FAIRVIEW,21742
Fairview La Capra Chenin Blanc 750Ml,1760.0,1760.0,LIQUOR,WINE,FAIRVIEW,21741
Fairview La Capra Sauvignon Blanc 750Ml,1760.0,1760.0,LIQUOR,WINE,FAIRVIEW,21740
Fairview Goats Do Roam White 750Ml,2100.0,2100.0,LIQUOR,WINE,FAIRVIEW,21739
Frontera Sweet Red 750Ml,1230.0,1230.0,LIQUOR,WINE,FRONTERA,21773
Casabuena Sangria White 1Ltr,700.0,700.0,LIQUOR,WINE,FRONTERA,21771
Frontera Cabernet Sauvignon 750ml,1275.0,1275.0,LIQUOR,WINE,FRONTERA,18139
Frontera Cabernet Sauvignon Red Wine 750ml,2085.0,2085.0,LIQUOR,WINE,FRONTERA,18140
Frontera Merlot 750ml,1275.0,1275.0,LIQUOR,WINE,FRONTERA,18141
Frontera Merlot Wine 1.5L,2085.0,2085.0,LIQUOR,WINE,FRONTERA,18142
Frontera Chardonnay 750ml,1275.0,1275.0,LIQUOR,WINE,FRONTERA,18238
Frontera Chardonnay Wine 1.5L,2085.0,2085.0,LIQUOR,WINE,FRONTERA,18239
Frontera Late Harvest 750ml,1275.0,1275.0,LIQUOR,WINE,FRONTERA,18240
Frontera Sauvignon Blanc 750ml,1275.0,1275.0,LIQUOR,WINE,FRONTERA,18241
Frontera Sauvignon Blanc Wine 1.5L,2085.0,2085.0,LIQUOR,WINE,FRONTERA,18242
Gatto Negro Chardonnay 750Ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,21777
Gatto Negro Semi Sweet White 750Ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,21776
Gatto Negro Merlot 750ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,18148
Gatto Negro Cab Sauvignon Merlot 750ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,18145
Gatto Negro Merlot 1.5L,1995.0,1995.0,LIQUOR,WINE,GATTO NEGRO,18147
Gatto Negro Semi Sweet Red 750ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,18149
Gatto Nero Cabernet Sauvignon 750ml,1230.0,1230.0,LIQUOR,WINE,GATTO NEGRO,18150
Gatto Chardonnay 1.5L,1995.0,1995.0,LIQUOR,WINE,GATTO NEGRO,18243
Jacobs Creek Reserve Chardonnay 750Ml,1810.0,1810.0,LIQUOR,WINE,JACOBS CREEK,21792
Jacobs Creek Classic Rose Wine 750ml,1282.0,1282.0,LIQUOR,WINE,JACOBS CREEK,18163
Jacobs Creek Double Barrel Shiraz Wine 750ml,2481.0,2481.0,LIQUOR,WINE,JACOBS CREEK,18164
Jacobs Creek Reserve Shiraz 750ml,1864.0,1864.0,LIQUOR,WINE,JACOBS CREEK,18165
Jacobs Creek Chardonnay 750ml,1282.0,1282.0,LIQUOR,WINE,JACOBS CREEK,18250
Kwv Cabernet Sauvignon 750Ml,1665.0,1665.0,LIQUOR,WINE,KWV,21819
Kwv Merlot 750Ml,1665.0,1665.0,LIQUOR,WINE,KWV,21818
Kwv  Sauvignon Blanc 750Ml,1410.0,1410.0,LIQUOR,WINE,KWV,21817
Kwv Chenin Blanc 750Ml,1210.0,1210.0,LIQUOR,WINE,KWV,21816
Kwv Pinotage 750ml,1665.0,1665.0,LIQUOR,WINE,KWV,18169
Nederburg Rose 750Ml,1360.0,1360.0,LIQUOR,WINE,NEDERBURG,21841
Nederburg Winemasters Sauv Blanc 750Ml,1730.0,1730.0,LIQUOR,WINE,NEDERBURG,21840
Nederburg Winemasters Cab Sauv 750ml,2170.0,2170.0,LIQUOR,WINE,NEDERBURG,18181
Nederburg Winemasters Merlot 750ml,2170.0,2170.0,LIQUOR,WINE,NEDERBURG,18182
Nederburg Winemasters Pinotage 750ml,2170.0,2170.0,LIQUOR,WINE,NEDERBURG,18183
Nederburg Winemasters Shiraz 750ml,2170.0,2170.0,LIQUOR,WINE,NEDERBURG,18184
Nederburg Chardonnay 750ml,1850.0,1850.0,LIQUOR,WINE,NEDERBURG,18261
