Name,Price,Discount Price,Category,Sub Category,Brand,id
Dudu Krin Pet Shampoo 500ml,985.0,985.0,PET,PET ACCESSORIES,,18473
Dudu Krin Insecticide Pet Shampoo 5L,6550.0,6550.0,PET,PET ACCESSORIES,,18472
Dudu Krin Insecticide Pet Shampoo 2L,2900.0,2900.0,PET,PET ACCESSORIES,,18471
Dudu Krin Insecticidal Pet Shampoo 250ml,425.0,425.0,PET,PET ACCESSORIES,,18470
Dudu Krin Insecticidal Pet Shampoo 1L,1475.0,1475.0,PET,PET ACCESSORIES,,18469
Dudu Krin Dog Shampoo 250ml,257.0,257.0,PET,PET ACCESSORIES,,18467
Bravo Puppy Chicken Rice 15Kg,4850.0,4850.0,PET,PET FOOD,BRAVO,18519
Bravo Active Beef Flavour 15Kg,4500.0,4500.0,PET,PET FOOD,BRAVO,18517
Catmor Liver Chunks In Jelly 85g,136.0,136.0,PET,PET FOOD,CATMOR,18476
Farmers Choice Team Cooked Pet Food 2Kg,422.0,390.0,PET,PET FOOD,FARMERS CHOICE,18537
Farmers Choice Beef Pet Food 2Kg,422.0,395.0,PET,PET FOOD,FARMERS CHOICE,18536
Top Dog Krunshi Economy Dog Food 5Kg,1340.0,1340.0,PET,PET FOOD,KRUNSHI,18533
Top Dog Krunshi Economy Dog Food 2Kg,563.0,563.0,PET,PET FOOD,KRUNSHI,18532
Pedigree Lamb In Jelly 100g,225.0,225.0,PET,PET FOOD,PEDIGREE,18540
Pedigree Chicken & Lamb In Jelly,615.0,615.0,PET,PET FOOD,PEDIGREE,18539
Pedigree Adult Medium Chicken 15Kg,11490.0,11490.0,PET,PET FOOD,PEDIGREE,18515
Pedigree Adult Medium Beef 8Kg,7727.0,7727.0,PET,PET FOOD,PEDIGREE,18514
Pedigree Adult Medium Beef 15Kg,11490.0,11490.0,PET,PET FOOD,PEDIGREE,11432
Privium Chunks In Gravy With Liver 410g,240.0,240.0,PET,PET FOOD,PRINCE,18486
