Name,Price,Discount Price,Category,Sub Category,Brand,id
Car Plan Flash Dash Cockpit Shine 500ml,850.0,850.0,Hardware,CAR ACCESSORIES,CARNAIVAS FRESHAN,17053
Triplewax Car Polish 375ml,680.0,680.0,Hardware,CAR ACCESSORIES,CARNAIVAS FRESHAN,17050
Car Plan Screen Clean 750ml,610.0,610.0,Hardware,CAR ACCESSORIES,CARNAIVAS FRESHAN,17041
Car Plan Rubbing Compound 150g,830.0,830.0,Hardware,CAR ACCESSORIES,CARNAIVAS FRESHAN,17040
Car Plan All Seasons Screen Wash 1L,690.0,690.0,Hardware,CAR ACCESSORIES,CARNAIVAS FRESHAN,17039
Chloride Exide Battery Water 1L,100.0,100.0,Hardware,CAR ACCESSORIES,CHLORIDE,17034
Chloride Exide Battery Acid 1L,180.0,180.0,Hardware,CAR ACCESSORIES,CHLORIDE,17033
Turtle Wax Fresh Shine Vanilla 500ml,880.0,880.0,Hardware,CAR ACCESSORIES,COCKPIT,17083
Turtle Wax Fresh Shine Strawberry 500ml,880.0,880.0,Hardware,CAR ACCESSORIES,COCKPIT,17082
Turtle Wax Cockpit Shine Citrus With Air Freshener 500ml,880.0,880.0,Hardware,CAR ACCESSORIES,COCKPIT,17081
Turtle Wax Cockpit Fresh Shine Outdoor Fresh 500ml,880.0,880.0,Hardware,CAR ACCESSORIES,COCKPIT,17080
Oto Car Wash 500ml,165.0,165.0,Hardware,CAR ACCESSORIES,OTO,17045
Oto Car Wash 5L,980.0,980.0,Hardware,CAR ACCESSORIES,OTO,17044
Shield Sheen Vinyl Plastic & Rubber Care Strawberry 300ml,690.0,690.0,Hardware,CAR ACCESSORIES,SHEEN,17079
Shield Sheen Vinyl Plastic & Rubber Care Nu Car 300ml,690.0,690.0,Hardware,CAR ACCESSORIES,SHEEN,17078
Shield Sheen Vinyl Plastic & Rubber Care Island Coconut 300ml,690.0,690.0,Hardware,CAR ACCESSORIES,SHEEN,17077
Shield Sheen Vinyl Plastic & Rubber Care Fresh Start 300ml,690.0,690.0,Hardware,CAR ACCESSORIES,SHEEN,17076
Shield Car Shampoo Wash & Wax 500ml,510.0,510.0,Hardware,CAR ACCESSORIES,SHIELD,17048
Turtle Wax Zip Wax Car Wash & Wax 500ml,780.0,780.0,Hardware,CAR ACCESSORIES,TURTLEWAX,17052
Braz Machete Wooden Handle 16 Inches,625.0,625.0,Hardware,FARM,BRAZ,17092
Welkut Hedge Shears Hc2062,3100.0,3100.0,Hardware,FARM,WELKUT,11336
Welkut Hedge Shears Hc2032,3550.0,3550.0,Hardware,FARM,WELKUT,11335
Pliers 6 China,275.0,275.0,Hardware,HAND TOOLS + ACCESSORIES,,17095
Oriv Padlock 462,2240.0,2240.0,Hardware,LOCKS,ORIV,17100
Oriv Cylindrical Padlock 405,3830.0,3830.0,Hardware,LOCKS,ORIV,17099
Tri-Circle Padlock 63Mm 266,1600.0,1600.0,Hardware,LOCKS,TRI-CIRCLE,17109
Tri-Circle Padlock 50Mm 265,970.0,970.0,Hardware,LOCKS,TRI-CIRCLE,17108
Tri-Circle Padlock 38Mm 264,615.0,615.0,Hardware,LOCKS,TRI-CIRCLE,17107
Tri-Circle Padlock 32Mm 263,450.0,450.0,Hardware,LOCKS,TRI-CIRCLE,17106
Tri-Circle Padlock 25Mm 262,310.0,310.0,Hardware,LOCKS,TRI-CIRCLE,17105
Tri-Circle Padlock 20Mm 261,260.0,260.0,Hardware,LOCKS,TRI-CIRCLE,17104
Tri-Circle Brass Padlock 101,265.0,265.0,Hardware,LOCKS,TRI-CIRCLE,17103
Viro Padlock 104,6470.0,6470.0,Hardware,LOCKS,VIRO,17111
Viro Padlock 103,5100.0,5100.0,Hardware,LOCKS,VIRO,17110
Topaz Diamond Glip Gloves,515.0,515.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,HEALTHCARE,17125
Household Rubber Gloves,200.0,200.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,HEALTHCARE,17116
Health Care Compact First Aid Kit,2000.0,2000.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,HEALTHCARE,17114
Industrial Leather Gloves,880.0,880.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,INDUSTRIAL,17117
Latex Examination Gloves M/S/L,770.0,770.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,LATEX,17122
Maxiplast First Aid Plaster 100 Pieces,154.0,154.0,Hardware,PROTECTION + SAFETY EQUIPMENTS,MAXNAIVAS FRESHAST,17123
